Sumlev,Region,Division,State,Name,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012
010,0,0,00,United States,308747508,309326225,311587816,313914040,578717,2261591,2326224,0.1874402173,0.7311345813,0.7465709121,,,,,,,,,,
020,1,0,00,Northeast Region,55317245,55376926,55597646,55761091,59681,220720,163445,0.1078885979,0.3985775592,0.2939782738,4,4,4,4,3,3,4,3,3,3
020,2,0,00,Midwest Region,66927489,66972135,67145089,67316297,44646,172954,171208,0.0667080159,0.2582477026,0.2549821626,3,3,3,3,4,4,3,4,4,4
020,3,0,00,South Region,114557147,114853800,116022230,117257221,296653,1168430,1234991,0.2589563443,1.0173194095,1.0644434261,1,1,1,1,1,1,1,1,1,1
020,4,0,00,West Region,71945627,72123364,72822851,73579431,177737,699487,756580,0.2470435069,0.9698479954,1.0389321341,2,2,2,2,2,2,2,2,2,2
040,1,1,09,Connecticut,3574097,3576616,3586717,3590347,2519,10101,3630,0.0704793407,0.2824177938,0.1012067582,29,29,29,29,38,38,45,41,40,45
040,1,1,23,Maine,1328361,1327585,1328544,1329192,-776,959,648,-0.058417855,0.0722364293,0.0487752005,41,41,41,41,50,47,48,50,47,47
040,1,1,25,Massachusetts,6547629,6563259,6607003,6646144,15630,43744,39141,0.2387123644,0.6664981528,0.5924168643,14,14,14,14,11,12,15,16,27,29
040,1,1,33,New Hampshire,1316469,1316843,1317807,1320718,374,964,2911,0.0284093283,0.0732053859,0.2208972938,42,42,42,42,47,46,47,46,46,41
040,1,1,44,Rhode Island,1052567,1052769,1050646,1050292,202,-2123,-354,0.0191911774,-0.201658673,-0.033693556,43,43,43,43,48,51,50,48,51,50
040,1,1,50,Vermont,625741,625916,626592,626011,175,676,-581,0.0279668425,0.1080017127,-0.092723814,49,49,49,50,49,49,51,47,45,51
040,1,2,34,New Jersey,8791898,8803388,8834773,8864590,11490,31385,29817,0.1306885043,0.3565104707,0.3374959379,11,11,11,11,13,18,20,32,38,34
040,1,2,36,New York,19378104,19399242,19501616,19570261,21138,102374,68645,0.1090818792,0.5277216502,0.3519964704,3,3,3,3,7,4,10,37,32,33
040,1,2,42,Pennsylvania,12702379,12711308,12743948,12763536,8929,32640,19588,0.070293919,0.2567792394,0.1537043309,6,6,6,6,19,17,23,42,42,43
040,2,3,17,Illinois,12830632,12840459,12859752,12875255,9827,19293,15503,0.0765901477,0.1502516382,0.1205544244,5,5,5,5,18,25,27,40,44,44
040,2,3,18,Indiana,6483800,6489856,6516353,6537334,6056,26497,20981,0.0934020173,0.4082833271,0.3219745769,15,15,15,16,26,21,22,39,35,37
040,2,3,26,Michigan,9883635,9877670,9876801,9883360,-5965,-869,6559,-0.060352289,-0.008797621,0.0664081417,8,8,8,9,51,50,44,51,50,46
040,2,3,39,Ohio,11536502,11538290,11541007,11544225,1788,2717,3218,0.0154986321,0.0235476834,0.0278831821,7,7,7,7,42,45,46,49,49,48
040,2,3,55,Wisconsin,5686986,5689591,5709843,5726398,2605,20252,16555,0.0458063375,0.3559482571,0.2899379195,20,20,20,20,37,23,25,45,39,39
040,2,4,19,Iowa,3046857,3050321,3064097,3074186,3464,13776,10089,0.1136909281,0.4516245995,0.3292650331,30,30,30,30,32,32,36,36,34,36
040,2,4,20,Kansas,2853116,2858837,2870386,2885905,5721,11549,15519,0.2005176095,0.4039754627,0.5406589915,33,33,33,33,27,36,26,24,36,30
040,2,4,27,Minnesota,5303925,5310737,5347299,5379139,6812,36562,31840,0.1284331886,0.688454352,0.595440801,21,21,21,21,25,16,17,33,22,27
040,2,4,29,Missouri,5988924,5996092,6008984,6021988,7168,12892,13004,0.11968761,0.2150067077,0.2164092965,18,18,18,18,22,34,33,34,43,42
040,2,4,31,Nebraska,1826341,1829696,1842234,1855525,3355,12538,13291,0.1837006342,0.685250446,0.7214610088,38,38,38,37,33,35,32,27,23,26
040,2,4,38,North Dakota,672591,674363,684740,699628,1772,10377,14888,0.2634587736,1.5387854909,2.174255922,48,48,48,48,43,37,28,12,3,1
040,2,4,46,South Dakota,814180,816223,823593,833354,2043,7370,9761,0.2509273134,0.9029395153,1.1851727734,46,46,46,46,39,42,37,13,15,10
040,3,5,10,Delaware,897934,899824,908137,917092,1890,8313,8955,0.2104831758,0.9238473301,0.9860846987,45,45,45,45,40,41,39,23,14,18
040,3,5,11,District of Columbia,601723,604989,619020,632323,3266,14031,13303,0.5427746654,2.3192157213,2.1490420342,50,50,50,49,34,29,31,1,1,2
040,3,5,12,Florida,18802690,18845967,19082262,19317568,43277,236295,235306,0.2301638755,1.2538226348,1.2331137682,4,4,4,4,3,3,3,19,7,9
040,3,5,13,Georgia,9687663,9714748,9812460,9919945,27085,97712,107485,0.2795823926,1.0058109588,1.0953930003,9,9,9,8,4,5,4,10,10,11
040,3,5,24,Maryland,5773552,5787998,5839572,5884563,14446,51574,44991,0.2502099228,0.8910507571,0.7704503001,19,19,19,19,12,11,13,14,16,23
040,3,5,37,North Carolina,9535471,9559048,9651103,9752073,23577,92055,100970,0.2472557465,0.9630143085,1.0462016621,10,10,10,10,6,6,5,15,12,15
040,3,5,45,South Carolina,4625364,4635835,4673348,4723723,10471,37513,50375,0.2263821831,0.8091961858,1.0779210108,24,24,24,24,17,15,12,20,19,13
040,3,5,51,Virginia,8001031,8025105,8104384,8185867,24074,79279,81483,0.3008862233,0.9878873859,1.0054187956,12,12,12,12,5,8,7,6,11,17
040,3,5,54,West Virginia,1852999,1854019,1854908,1855413,1020,889,505,0.0550459013,0.0479498862,0.0272250699,37,37,37,38,45,48,49,44,48,49
040,3,6,01,Alabama,4779745,4784762,4803689,4822023,5017,18927,18334,0.1049637585,0.3955682644,0.3816650079,23,23,23,23,29,26,24,38,37,31
040,3,6,21,Kentucky,4339357,4346655,4366814,4380415,7298,20159,13601,0.1681815993,0.4637819197,0.3114627735,26,26,26,26,21,24,30,28,33,38
040,3,6,28,Mississippi,2967299,2969137,2977457,2984926,1838,8320,7469,0.0619418535,0.2802161032,0.2508516496,31,31,31,31,41,40,42,43,41,40
040,3,6,47,Tennessee,6346113,6356673,6399787,6456243,10560,43114,56456,0.166401071,0.6782478822,0.8821543592,17,17,17,17,16,13,11,29,24,20
040,3,7,05,Arkansas,2915919,2922750,2938582,2949131,6831,15832,10549,0.2342657666,0.5416816354,0.3589826658,32,32,32,32,24,28,35,18,30,32
040,3,7,22,Louisiana,4533372,4544125,4574766,4601893,10753,30641,27127,0.2371965063,0.6742992325,0.5929702197,25,25,25,25,15,19,21,17,25,28
040,3,7,40,Oklahoma,3751354,3759482,3784163,3814820,8128,24681,30657,0.2166684349,0.6565000178,0.8101395209,28,28,28,28,20,22,19,21,28,21
040,3,7,48,Texas,25145561,25242683,25631778,26059203,97122,389095,427425,0.3862391457,1.5414169722,1.6675589185,2,2,2,2,1,1,1,4,2,3
040,4,8,04,Arizona,6392015,6410810,6467315,6553255,18795,56505,85940,0.2940387343,0.8814018821,1.3288358461,16,16,16,15,10,10,6,7,17,8
040,4,8,08,Colorado,5029196,5048472,5116302,5187582,19276,67830,71280,0.3832819401,1.343574848,1.393193756,22,22,22,22,8,9,9,5,6,7
040,4,8,16,Idaho,1567652,1570784,1583744,1595728,3132,12960,11984,0.1997892389,0.8250656997,0.7566879496,39,39,39,39,36,33,34,25,18,24
040,4,8,30,Montana,989417,990735,997667,1005141,1318,6932,7474,0.1332097589,0.6996825589,0.7491477617,44,44,44,44,44,43,41,30,21,25
040,4,8,32,Nevada,2700552,2703758,2720028,2758931,3206,16270,38903,0.1187164698,0.6017550387,1.4302426299,35,35,35,35,35,27,16,35,29,6
040,4,8,35,New Mexico,2059180,2064767,2078674,2085538,5587,13907,6864,0.271321594,0.6735384671,0.3302105092,36,36,36,36,28,30,43,11,26,35
040,4,8,49,Utah,2763885,2775093,2814347,2855287,11208,39254,40940,0.4055161485,1.4145111533,1.4546891339,34,34,34,34,14,14,14,3,4,5
040,4,8,56,Wyoming,563626,564367,567356,576412,741,2989,9056,0.1314701593,0.5296199104,1.596175946,51,51,51,51,46,44,38,31,31,4
040,4,9,02,Alaska,710231,714046,723860,731449,3815,9814,7589,0.537149181,1.3744212558,1.0484071506,47,47,47,47,31,39,40,2,5,14
040,4,9,06,California,37253956,37334410,37683933,38041430,80454,349523,357497,0.2159609573,0.9361953222,0.94867221,1,1,1,1,2,2,2,22,13,19
040,4,9,15,Hawaii,1360301,1364274,1378129,1392313,3973,13855,14184,0.2920677115,1.0155584582,1.0292215025,40,40,40,40,30,31,29,8,9,16
040,4,9,41,Oregon,3831073,3838212,3868229,3899353,7139,30017,31124,0.1863446611,0.7820568536,0.8046059321,27,27,27,27,23,20,18,26,20,22
040,4,9,53,Washington,6724543,6743636,6823267,6897012,19093,79631,73745,0.2839300752,1.1808318243,1.0807872534,13,13,13,13,9,7,8,9,8,12
040,X,X,72,Puerto Rico,3725789,3721208,3694093,3667084,-4581,-27115,-27009,-0.122953823,-0.72866123,-0.731140228,,,,,,,,,,
